id;active;type;name;externalId;epgProvider;epgProviderId;mdbMatchTags;enableImageGenerator;order;lcn;testing;public;availability;fsAvailability;parentLock;malfunction;timeshiftDuration;timeshiftAvailable;timeshiftBeforeEvent;timeshiftAfterEvent;drm;directAccess;audio;message;channelGroup;description;hd;hack;dvbMrl;tags;epgLang;useStreamServer;freeSeekSeconds;freeSeekStartOver;freeSeekPvr;epgAllowedTypes;parallelStreamGroup
DISCOVERYSCIENCE;1;tv;DISCOVERY SCIENCE;DISCOVERYSCIENCE_stream_3l;14;493;,movie,dummyShow,dummySeries,;1;72;109;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Documentales;;0;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERYTHEATER;1;tv;DISCOVERY THEATER HD;DISCOVERYTHEATER_stream_he;14;1181;,movie,dummyShow,dummySeries,;1;164;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Documentales;;1;;\N;DRM,Inter;es;1;0;0;0;;1
DISCOVERYTURBO;1;tv;DISCOVERY TURBO;DISCOVERYTURBO_stream_df;14;492;,movie,dummyShow,dummySeries,;1;73;110;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Documentales;;0;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERY_KIDS_HD_INTER;1;tv;DISCOVERY KIDS HD;DISCOVERY_KIDS_HD_INTER_stream_oo;14;396;,movie,dummyShow,dummySeries,;1;198;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;\N;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISCOVERY_TURBO_HD_INTER;1;tv;DISCOVERY TURBO HD;DISCOVERY_TURBO_HD_INTER_stream_34;14;492;,movie,dummyShow,dummySeries,;1;0;\N;0;1;Inter;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Documentales;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISNEYCHANNEL;1;tv;DISNEY CHANNEL FHD;DISNEYCHANNEL_stream_ki;14;386;,movie,dummyShow,dummySeries,;1;81;127;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
DISNEYJR;1;tv;DISNEY JR FHD;DISNEYJR_stream_0p;14;1102;,movie,dummyShow,dummySeries,;1;82;128;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
DSPORTS2;1;tv;DSPORTS2 HD;DSPORTS2_stream_ka;14;6998;,movie,dummyShow,dummySeries,;1;151;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
DSPORTSFIGHT;1;tv;DSPORTS FIGHT HD;DFIGHT_stream_ff;14;7170;,movie,dummyShow,dummySeries,;1;154;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;DRM,720,prueba;es;1;0;0;0;;1
DSPORTSPAN;1;tv;DSPORTS HD;DSPORTPAN_stream_6i;14;6996;,movie,dummyShow,dummySeries,;1;150;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
DSPORTSPLUS;1;tv;DSPORTS+ HD;DSPORTSPLUS_stream_ok;14;7000;,movie,dummyShow,dummySeries,;1;152;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa,eng;\N;Deportes;;1;;\N;1440,DRM;es;1;0;0;0;;1
DUCK_TV;1;tv;DUCK TV HD;DUCK_TV_stream_it;14;7990;,movie,dummyShow,dummySeries,;1;251;\N;0;1;NetUno;\N;0;\N;1440;1440;1;2;1;0;spa;\N;Infantiles;;1;;\N;1440,DRM;es;1;0;0;0;;1
